[2024-04-22 20:18:10,353] 157 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[2024-04-22 20:18:10,371] 157 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[2024-04-22 20:18:10,395] 157 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[2024-04-22 20:18:10,786] 225 werkzeug - WARNING -  * Debugger is active!
[2024-04-22 20:18:10,799] 225 werkzeug - INFO -  * Debugger PIN: 276-898-987
[2024-04-22 20:18:10,801] 225 werkzeug - WARNING -  * Debugger is active!
[2024-04-22 20:18:10,813] 225 werkzeug - INFO -  * Debugger PIN: 276-898-987
[2024-04-22 20:18:12,009] 225 werkzeug - WARNING -  * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
[2024-04-22 20:18:12,012] 225 werkzeug - INFO -  * Running on http://192.168.0.107:5000/ (Press CTRL+C to quit)
[2024-04-22 20:18:17,136] 225 werkzeug - INFO - 127.0.0.1 - - [22/Apr/2024 20:18:17] "GET / HTTP/1.1" 200 -
[2024-04-22 20:18:20,669] 225 werkzeug - INFO - 127.0.0.1 - - [22/Apr/2024 20:18:20] "GET /predict HTTP/1.1" 200 -
[2024-04-22 20:18:48,603] 225 werkzeug - INFO - 127.0.0.1 - - [22/Apr/2024 20:18:48] "GET / HTTP/1.1" 200 -
[2024-04-22 20:18:52,494] 225 werkzeug - INFO - 127.0.0.1 - - [22/Apr/2024 20:18:52] "GET /predict HTTP/1.1" 200 -
[2024-04-22 20:19:08,486] 61 root - INFO - Dataframe created
[2024-04-22 20:19:08,486] 36 root - INFO - Error in load_object fuction in utils
[2024-04-22 20:19:08,486] 24 root - INFO - Error occured in predict function in prediction_pipeline location
[2024-04-22 20:19:08,511] 225 werkzeug - INFO - 127.0.0.1 - - [22/Apr/2024 20:19:08] "[35m[1mPOST /predict HTTP/1.1[0m" 500 -
[2024-04-22 20:19:08,777] 225 werkzeug - INFO - 127.0.0.1 - - [22/Apr/2024 20:19:08] "GET /predict?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1" 200 -
[2024-04-22 20:19:08,778] 225 werkzeug - INFO - 127.0.0.1 - - [22/Apr/2024 20:19:08] "GET /predict?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1" 200 -
[2024-04-22 20:19:08,794] 225 werkzeug - INFO - 127.0.0.1 - - [22/Apr/2024 20:19:08] "GET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
[2024-04-22 20:19:08,816] 225 werkzeug - INFO - 127.0.0.1 - - [22/Apr/2024 20:19:08] "GET /predict?__debugger__=yes&cmd=resource&f=ubuntu.ttf HTTP/1.1" 200 -
[2024-04-22 20:19:08,835] 225 werkzeug - INFO - 127.0.0.1 - - [22/Apr/2024 20:19:08] "GET /predict?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
[2024-04-22 20:29:24,664] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\numpy\\typing\\__init__.py', reloading
[2024-04-22 20:29:24,664] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\numpy\\typing\\__init__.py', reloading
[2024-04-22 20:29:24,681] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\numpy\\typing\\_array_like.py', reloading
[2024-04-22 20:29:24,684] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\numpy\\typing\\_scalars.py', reloading
[2024-04-22 20:29:24,684] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\numpy\\typing\\_scalars.py', reloading
[2024-04-22 20:29:24,807] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\numpy\\typing\\_dtype_like.py', reloading
[2024-04-22 20:29:24,807] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\numpy\\typing\\_dtype_like.py', reloading
[2024-04-22 20:29:24,810] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\numpy\\typing\\_shape.py', reloading
[2024-04-22 20:29:24,810] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\numpy\\typing\\_shape.py', reloading
[2024-04-22 20:29:24,846] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\joblib\\__init__.py', reloading
[2024-04-22 20:29:24,851] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\joblib\\memory.py', reloading
[2024-04-22 20:29:24,851] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\joblib\\memory.py', reloading
[2024-04-22 20:29:24,871] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\joblib\\logger.py', reloading
[2024-04-22 20:29:24,871] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\joblib\\logger.py', reloading
[2024-04-22 20:29:24,896] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\scipy\\sparse\\__init__.py', reloading
[2024-04-22 20:29:24,896] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\scipy\\sparse\\__init__.py', reloading
[2024-04-22 20:29:24,900] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\scipy\\sparse\\base.py', reloading
[2024-04-22 20:29:24,900] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\scipy\\sparse\\base.py', reloading
[2024-04-22 20:29:24,915] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\scipy\\sparse\\csr.py', reloading
[2024-04-22 20:29:24,921] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\scipy\\sparse\\csc.py', reloading
[2024-04-22 20:29:24,921] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\scipy\\sparse\\csc.py', reloading
[2024-04-22 20:29:24,925] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\scipy\\sparse\\lil.py', reloading
[2024-04-22 20:29:24,938] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\scipy\\sparse\\dok.py', reloading
[2024-04-22 20:29:24,957] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\scipy\\sparse\\coo.py', reloading
[2024-04-22 20:29:24,957] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\scipy\\sparse\\coo.py', reloading
[2024-04-22 20:29:24,968] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\scipy\\sparse\\dia.py', reloading
[2024-04-22 20:29:24,968] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\scipy\\sparse\\dia.py', reloading
[2024-04-22 20:29:24,978] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\scipy\\sparse\\bsr.py', reloading
[2024-04-22 20:29:24,979] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\scipy\\sparse\\bsr.py', reloading
[2024-04-22 20:29:24,987] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\scipy\\sparse\\construct.py', reloading
[2024-04-22 20:29:24,987] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\scipy\\sparse\\construct.py', reloading
[2024-04-22 20:29:25,000] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\scipy\\sparse\\extract.py', reloading
[2024-04-22 20:29:25,003] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\scipy\\sparse\\_matrix_io.py', reloading
[2024-04-22 20:29:25,003] 225 werkzeug - INFO -  * Detected change in 'C:\\Users\\Hp\\Anaconda3\\Lib\\site-packages\\scipy\\sparse\\_matrix_io.py', reloading
